order_id	name	order_value	priority	state	order_date	customer_id	ts
b0a4c475-5a65-4886-b7a2-2e0ad1cf900d	Necessary.	406	LOW	AK	2024-07-07	62153d36-cdb5-45b8-9bc7-3da46f18e3d6	1722620744.891296
9f337288-5dff-417b-b18b-1c9c7cb1fe9f	Chair several here.	366	HIGH	WI	2024-07-13	d16b1b0b-62d1-479a-96a6-e831fbc500b9	1722620744.891403
ef858ef7-8292-4ef3-affa-f422510ff57e	Admit base thousand.	846	MEDIUM	NY	2024-07-30	e08003c9-1302-4829-aa6f-c3c9f25e8bce	1722620744.891496
37a64853-21e6-463f-87b9-cba4b10926e3	People difference.	462	LOW	ME	2024-07-21	e7959650-7b9c-4a00-8ac1-3b519b46cd5f	1722620744.891585
6d42a7c4-c8df-4d2f-bde6-e2b978d54844	Candidate option.	947	HIGH	OK	2024-07-29	f7cec57c-0014-4417-98f6-4e59295903a3	1722620744.891666
32e8692f-3693-4f99-9ba5-3a5fc46c2fa8	Speak light door.	353	HIGH	ND	2024-07-25	4cc8144f-fdf9-4992-a80a-1831487bce8a	1722620744.891748
1323eb99-7e6e-4135-9a7a-6c05ab124a06	Generation arrive.	116	LOW	PA	2024-07-25	c73cf3c1-193f-4ea2-a3a0-61d51a6463b0	1722620744.89182
ae12e92b-aa75-4e55-ba2b-471d9fbab66c	Alone industry.	616	LOW	AL	2024-07-03	acc29af1-400c-4a01-affd-b302f943cccd	1722620744.891916
8fd17813-2728-4bab-a4f4-36e576a2afad	Positive marriage.	223	HIGH	AR	2024-07-09	f2aa9488-7977-45b5-99fd-18ee6c51c964	1722620744.891997
87ca3539-409d-46af-8004-38540720c4c8	Exist stay life.	957	HIGH	AK	2024-07-03	c73cf3c1-193f-4ea2-a3a0-61d51a6463b0	1722620744.892077
8c1cf019-1c58-4f37-8a04-bba59c8732ba	Skill beyond blood.	764	HIGH	AR	2024-07-21	db99f84e-6b42-4a98-9487-f401c7371cbf	1722620744.892155
8b977c8f-b65d-43f9-9c3d-277caa33f04d	Organization near I.	388	HIGH	SD	2024-07-18	7a8b6846-2e11-4202-a7c3-c177a56dc7c5	1722620744.892231
b8226b37-e378-4f4f-af02-27baf88c9985	Recent ask.	965	MEDIUM	NE	2024-07-11	7353edad-2ea9-4675-9ae2-7b7a8dbe6a81	1722620744.892299
aaa9b791-52d3-44de-93e7-6185ba826947	People data clear.	144	MEDIUM	TN	2024-07-03	4973a61d-8b36-47c4-aa6c-016803c8602e	1722620744.892374
d004fb2d-a29b-4cf5-9b52-7fb68bfa685e	Herself indeed.	671	HIGH	GA	2024-07-29	1476233d-b767-4baf-b4af-17e1a1d2c459	1722620744.892442
55928596-2334-410b-a3d5-c2312b6224f9	North cell already.	664	MEDIUM	DC	2024-07-24	e78ab06a-3fc8-4e34-8639-53c80565473a	1722620744.892515
7c98f247-4acc-4a73-aca8-88f324fe5761	Position challenge.	784	LOW	CO	2024-07-27	acc29af1-400c-4a01-affd-b302f943cccd	1722620744.89259
4ebc6d23-6b50-4125-9529-3a4b8f63029e	Show seek research.	464	LOW	NC	2024-07-04	6b908add-ce7a-4001-a8fc-9ce4b970e9e1	1722620744.892666
879f7e79-fed8-42e5-81ca-e2efd782c82a	Risk day color.	19	HIGH	KY	2024-07-03	9d862ab4-604f-40a1-ab39-6b535ec8ca1d	1722620744.892741
73cb8a79-65a0-4b30-873f-cf23c0ce14a1	He provide whom.	712	MEDIUM	GA	2024-07-23	e7959650-7b9c-4a00-8ac1-3b519b46cd5f	1722620744.892814
